grupo,selecao,codigo,fifa_points,pop_milhoes,pibpc_usd,temp_media_c,host,futebol_mainstream
A,Mexico,MEX,1718.9,141.04,14976.0,21.2,1,0.88
A,South Africa,RSA,1484.8,67.87,8529.0,17.5,0,0.7
A,South Korea,KOR,1594.0,57.12,39203.0,11.9,0,0.81
A,Czechia,CZE,1616.7,11.89,31797.0,8.2,0,0.78
B,Canada,CAN,1579.8,43.21,60463.0,-1.4,1,0.72
B,Bosnia and Herzegovina,BIH,1562.8,3.5,8797.0,10.0,0,0.71
B,Qatar,QAT,1582.3,3.2,90157.0,27.4,0,0.7
B,Switzerland,SUI,1684.4,9.94,106378.0,8.1,0,0.89
C,Brazil,BRA,1865.2,238.21,11985.0,25.3,0,0.99
C,Morocco,MAR,1749.1,39.41,4592.0,21.5,0,0.88
C,Haiti,HTI,1491.2,12.86,2188.0,27.9,0,0.62
C,Scotland,SCO,1623.0,5.98,61068.0,8.7,0,0.77
D,United States,USA,1686.7,354.35,93275.0,11.5,1,0.86
D,Paraguay,PAR,1541.1,7.45,6858.0,24.0,0,0.75
D,Australia,AUS,1648.5,29.6,74051.0,21.4,0,0.82
D,Turkey,TUR,1594.8,92.12,14899.0,13.3,0,0.83
E,Germany,GER,1834.5,89.28,58891.0,8.4,0,0.97
E,Curacao,CUW,1472.6,0.17,25931.0,27.6,0,0.63
E,Ivory Coast,CIV,1591.7,31.83,3146.0,26.1,0,0.78
E,Ecuador,ECU,1633.6,19.81,6664.0,22.0,0,0.82
F,Netherlands,NED,1791.9,20.07,70027.0,10.5,0,0.95
F,Japan,JPN,1700.4,135.58,37255.0,16.7,0,0.88
F,Sweden,SWE,1672.6,11.29,64610.0,2.9,0,0.85
F,Tunisia,TUN,1549.1,13.22,4945.0,20.3,0,0.75
G,Belgium,BEL,1783.1,13.08,55642.0,9.6,0,0.94
G,Egypt,EGY,1576.4,124.03,4561.0,23.3,0,0.77
G,Iran,IRI,1632.6,93.36,6084.0,17.9,0,0.81
G,New Zealand,NZL,1534.5,5.61,53481.0,10.5,0,0.68
H,Spain,ESP,1779.2,51.0,36958.0,15.7,0,0.96
H,Cape Verde,CPV,1433.8,0.64,4685.0,23.6,0,0.64
H,Saudi Arabia,KSA,1540.0,39.26,33174.0,28.3,0,0.7
H,Uruguay,URU,1727.9,3.91,24180.0,17.4,0,0.93
I,France,FRA,1898.9,74.64,50204.0,10.9,0,0.98
I,Senegal,SEN,1680.7,19.87,1991.0,28.7,0,0.85
I,Iraq,IRQ,1478.8,44.93,6792.0,23.1,0,0.65
I,Norway,NOR,1709.3,5.84,98053.0,1.4,0,0.83
J,Argentina,ARG,1905.4,51.37,12937.0,16.1,0,0.96
J,Algeria,DZA,1565.3,48.83,6267.0,22.9,0,0.76
J,Austria,AUT,1643.0,9.45,58657.0,8.1,0,0.83
J,Jordan,JOR,1462.7,12.18,5338.0,19.6,0,0.65
K,Portugal,POR,1837.9,11.33,41267.0,15.4,0,0.95
K,DR Congo,COD,1484.1,107.36,808.0,25.2,0,0.66
K,Uzbekistan,UZB,1465.2,38.28,2968.0,13.3,0,0.66
K,Colombia,COL,1742.3,55.5,9574.0,23.7,0,0.89
L,England,ENG,1833.8,59.01,60196.0,10.9,0,0.98
L,Croatia,CRO,1787.4,4.26,25208.0,13.2,0,0.92
L,Ghana,GHA,1604.2,36.82,2731.0,25.8,0,0.78
L,Panama,PAN,1524.3,4.91,20997.0,27.2,0,0.67
