ano,selecao,codigo,score,fase,fifa_points,pop_milhoes,pibpc_usd,temp_media_c,host,futebol_mainstream
1994,Argentina,ARG,6,campeao,1875.5,45.89,13628.0,16.7,0,0.96
1994,England,ENG,5,vice,1932.2,58.37,44890.0,9.3,0,0.98
1994,Belgium,BEL,4,semifinal,1758.4,11.61,51347.0,11.0,0,0.94
1994,Germany,GER,4,semifinal,1798.2,85.89,52391.0,8.6,0,0.97
1994,Uruguay,URU,3,quartas,1828.6,3.29,19577.0,16.6,0,0.93
1994,France,FRA,3,quartas,1863.1,67.13,40761.0,9.9,0,0.98
1994,United States,USA,3,quartas,1634.5,335.22,72457.0,12.4,1,0.86
1994,Portugal,POR,3,quartas,1729.3,10.76,36630.0,15.5,0,0.95
1994,Brazil,BRA,2,oitavas,1787.3,220.56,10693.0,24.1,0,0.99
1994,Ecuador,ECU,2,oitavas,1659.3,17.96,6718.0,22.2,0,0.82
1994,Mexico,MEX,2,oitavas,1809.3,131.04,13603.0,20.6,0,0.88
1994,Croatia,CRO,2,oitavas,1699.2,3.94,21387.0,13.3,0,0.92
1994,Australia,AUS,2,oitavas,1544.8,28.45,69429.0,22.1,0,0.82
1994,Morocco,MAR,2,oitavas,1727.1,37.5,4301.0,23.0,0,0.88
1994,Poland,POL,2,oitavas,1567.1,38.54,20370.0,6.7,0,0.79
1994,Netherlands,NED,2,oitavas,1739.1,18.35,61784.0,10.9,0,0.95
1994,Turkey,TUR,1,grupos,1600.0,84.24,13241.0,13.0,0,0.83
1994,Colombia,COL,1,grupos,1687.5,54.16,8036.0,23.2,0,0.89
1994,Norway,NOR,1,grupos,1670.6,5.42,99058.0,0.9,0,0.83
1994,Iran,IRI,1,grupos,1569.9,89.51,6088.0,16.6,0,0.81
1994,Peru,PER,1,grupos,1478.0,33.78,7016.0,19.6,0,0.73
1994,Switzerland,SUI,1,grupos,1590.5,8.91,97860.0,7.7,0,0.89
1994,Scotland,SCO,1,grupos,1586.4,5.55,42761.0,8.3,0,0.77
1994,Senegal,SEN,1,grupos,1668.6,17.77,1701.0,27.9,0,0.85
1994,Algeria,DZA,1,grupos,1567.7,47.94,5187.0,21.8,0,0.76
1994,Tunisia,TUN,1,grupos,1564.5,11.15,4029.0,20.3,0,0.75
1994,Ivory Coast,CIV,1,grupos,1529.6,31.2,2509.0,27.0,0,0.78
1994,Cameroon,CMR,1,grupos,1501.7,27.82,1714.0,25.3,0,0.76
1994,Ghana,GHA,1,grupos,1451.9,35.51,2751.0,27.5,0,0.78
1994,Qatar,QAT,1,grupos,1454.3,3.02,71587.0,28.0,0,0.7
1994,Nigeria,NGA,1,grupos,1515.7,226.23,2473.0,25.7,0,0.8
1994,Serbia,SRB,1,grupos,1461.0,6.87,13048.0,11.7,0,0.8
1998,France,FRA,6,campeao,1824.9,73.24,44567.0,9.7,1,0.98
1998,Netherlands,NED,5,vice,1862.0,18.9,57147.0,9.9,0,0.95
1998,Spain,ESP,4,semifinal,1786.5,49.82,38027.0,14.5,0,0.96
1998,Mexico,MEX,4,semifinal,1697.6,126.99,13109.0,20.6,0,0.88
1998,Germany,GER,3,quartas,1845.8,86.56,49711.0,9.0,0,0.97
1998,Austria,AUT,3,quartas,1667.4,9.16,58910.0,9.4,0,0.83
1998,Australia,AUS,3,quartas,1600.7,28.18,68253.0,22.3,0,0.82
1998,Argentina,ARG,3,quartas,1842.1,48.18,14436.0,16.2,0,0.96
1998,Brazil,BRA,2,oitavas,1672.8,214.28,11660.0,25.7,0,0.99
1998,Switzerland,SUI,2,oitavas,1714.6,9.05,103024.0,6.6,0,0.89
1998,United States,USA,2,oitavas,1617.4,317.76,72185.0,11.9,0,0.86
1998,Belgium,BEL,2,oitavas,1819.4,11.66,61010.0,10.5,0,0.94
1998,Colombia,COL,2,oitavas,1710.5,55.07,7873.0,22.4,0,0.89
1998,Peru,PER,2,oitavas,1567.8,33.15,7265.0,19.3,0,0.73
1998,Croatia,CRO,2,oitavas,1722.7,3.87,21460.0,12.3,0,0.92
1998,Portugal,POR,2,oitavas,1743.8,10.98,37162.0,15.8,0,0.95
1998,Panama,PAN,1,grupos,1531.4,4.67,17765.0,26.8,0,0.67
1998,South Korea,KOR,1,grupos,1673.1,51.86,35570.0,11.4,0,0.81
1998,Saudi Arabia,KSA,1,grupos,1513.0,35.85,30378.0,29.5,0,0.7
1998,Serbia,SRB,1,grupos,1486.1,6.87,14258.0,10.9,0,0.8
1998,Morocco,MAR,1,grupos,1710.1,36.53,3947.0,22.2,0,0.88
1998,Uruguay,URU,1,grupos,1720.2,3.61,20134.0,18.4,0,0.93
1998,Nigeria,NGA,1,grupos,1547.8,221.87,2389.0,26.2,0,0.8
1998,Algeria,DZA,1,grupos,1550.2,46.44,5384.0,21.9,0,0.76
1998,Canada,CAN,1,grupos,1556.9,41.57,52725.0,-0.9,0,0.72
1998,Iran,IRI,1,grupos,1602.1,90.4,5285.0,17.7,0,0.81
1998,Chile,CHI,1,grupos,1537.8,19.93,14005.0,13.1,0,0.82
1998,Poland,POL,1,grupos,1523.5,38.86,17817.0,8.5,0,0.79
1998,Ivory Coast,CIV,1,grupos,1555.5,30.25,2735.0,27.7,0,0.78
1998,Senegal,SEN,1,grupos,1621.3,17.68,1870.0,28.0,0,0.85
1998,Tunisia,TUN,1,grupos,1496.9,11.71,4880.0,20.7,0,0.75
1998,Paraguay,PAR,1,grupos,1594.1,6.78,5295.0,23.4,0,0.75
2002,Argentina,ARG,6,campeao,1977.5,46.48,14826.0,16.6,0,0.96
2002,Croatia,CRO,5,vice,1839.2,4.12,23929.0,13.1,0,0.92
2002,Brazil,BRA,4,semifinal,1923.6,209.96,9878.0,25.2,0,0.99
2002,Germany,GER,4,semifinal,1824.4,82.77,61036.0,8.7,0,0.97
2002,Portugal,POR,3,quartas,1836.0,10.41,36897.0,17.3,0,0.95
2002,Sweden,SWE,3,quartas,1726.4,10.62,60845.0,3.2,0,0.85
2002,England,ENG,3,quartas,1806.6,58.01,50187.0,9.7,0,0.98
2002,Japan,JPN,3,quartas,1660.5,127.9,33331.0,17.7,1,0.88
2002,Uruguay,URU,2,oitavas,1819.2,3.57,20862.0,17.5,0,0.93
2002,Norway,NOR,2,oitavas,1628.0,5.74,97771.0,1.8,0,0.83
2002,Italy,ITA,2,oitavas,1647.7,61.79,39878.0,12.5,0,0.94
2002,Colombia,COL,2,oitavas,1743.4,53.32,7132.0,24.8,0,0.89
2002,South Korea,KOR,2,oitavas,1601.8,55.6,35804.0,10.9,1,0.81
2002,Denmark,DEN,2,oitavas,1682.6,5.96,68247.0,7.8,0,0.86
2002,Czechia,CZE,2,oitavas,1562.6,10.97,28825.0,7.8,0,0.78
2002,Switzerland,SUI,2,oitavas,1727.6,9.26,91414.0,8.2,0,0.89
2002,South Africa,RSA,1,grupos,1494.6,59.98,6877.0,16.8,0,0.7
2002,Tunisia,TUN,1,grupos,1569.3,11.52,4183.0,20.7,0,0.75
2002,Canada,CAN,1,grupos,1541.0,43.18,58867.0,-1.0,0,0.72
2002,Belgium,BEL,1,grupos,1736.1,12.01,53209.0,10.0,0,0.94
2002,Egypt,EGY,1,grupos,1561.8,115.17,4239.0,23.4,0,0.77
2002,Iran,IRI,1,grupos,1611.4,92.98,5908.0,16.2,0,0.81
2002,Jordan,JOR,1,grupos,1533.9,11.32,4719.0,20.1,0,0.65
2002,Peru,PER,1,grupos,1499.4,33.51,7281.0,19.5,0,0.73
2002,Saudi Arabia,KSA,1,grupos,1523.6,36.3,36536.0,28.9,0,0.7
2002,Algeria,DZA,1,grupos,1568.7,47.85,5465.0,24.6,0,0.76
2002,Costa Rica,CRC,1,grupos,1488.3,5.13,14029.0,25.3,0,0.69
2002,Nigeria,NGA,1,grupos,1629.7,241.12,2099.0,27.7,0,0.8
2002,Ivory Coast,CIV,1,grupos,1531.2,31.54,2511.0,27.3,0,0.78
2002,Panama,PAN,1,grupos,1555.8,4.41,18633.0,25.9,0,0.67
2002,Ghana,GHA,1,grupos,1540.2,34.07,2541.0,26.6,0,0.78
2002,Cameroon,CMR,1,grupos,1433.2,29.41,2007.0,23.9,0,0.76
2006,Belgium,BEL,6,campeao,1791.4,12.66,55241.0,9.4,0,0.94
2006,Germany,GER,5,vice,1754.5,85.95,59593.0,9.3,1,0.97
2006,England,ENG,4,semifinal,1801.6,57.97,59020.0,10.1,0,0.98
2006,Spain,ESP,4,semifinal,1855.2,48.58,38628.0,15.0,0,0.96
2006,Brazil,BRA,3,quartas,1868.1,222.54,11681.0,25.5,0,0.99
2006,Argentina,ARG,3,quartas,1793.8,48.37,12350.0,15.2,0,0.96
2006,Mexico,MEX,3,quartas,1683.6,126.65,12426.0,22.3,0,0.88
2006,Italy,ITA,3,quartas,1749.8,62.01,40317.0,14.9,0,0.94
2006,Sweden,SWE,2,oitavas,1628.2,11.29,55628.0,3.8,0,0.85
2006,Paraguay,PAR,2,oitavas,1565.2,7.92,6285.0,23.8,0,0.75
2006,Switzerland,SUI,2,oitavas,1737.2,9.64,98355.0,6.1,0,0.89
2006,Netherlands,NED,2,oitavas,1795.7,18.41,62918.0,11.1,0,0.95
2006,Japan,JPN,2,oitavas,1672.9,122.48,35875.0,17.1,0,0.88
2006,Denmark,DEN,2,oitavas,1670.2,5.99,70336.0,9.6,0,0.86
2006,Morocco,MAR,2,oitavas,1708.9,38.24,4634.0,22.0,0,0.88
2006,Uruguay,URU,2,oitavas,1742.8,3.58,20658.0,17.3,0,0.93
2006,Croatia,CRO,1,grupos,1757.4,3.94,23876.0,12.4,0,0.92
2006,Senegal,SEN,1,grupos,1666.1,19.03,1672.0,27.4,0,0.85
2006,Colombia,COL,1,grupos,1720.4,53.13,8453.0,25.1,0,0.89
2006,France,FRA,1,grupos,1918.8,70.81,49131.0,11.6,0,0.98
2006,Poland,POL,1,grupos,1559.5,39.91,19246.0,7.1,0,0.79
2006,Portugal,POR,1,grupos,1812.7,10.93,38057.0,14.7,0,0.95
2006,Egypt,EGY,1,grupos,1618.2,115.29,3932.0,21.6,0,0.77
2006,Australia,AUS,1,grupos,1641.9,26.85,70840.0,22.0,0,0.82
2006,Norway,NOR,1,grupos,1714.9,5.48,93504.0,2.0,0,0.83
2006,Chile,CHI,1,grupos,1602.6,20.7,15614.0,13.7,0,0.82
2006,Saudi Arabia,KSA,1,grupos,1590.7,37.67,36829.0,27.2,0,0.7
2006,Czechia,CZE,1,grupos,1519.2,11.45,35621.0,7.7,0,0.78
2006,Tunisia,TUN,1,grupos,1643.9,12.07,4802.0,19.2,0,0.75
2006,Peru,PER,1,grupos,1477.4,35.53,7496.0,20.8,0,0.73
2006,New Zealand,NZL,1,grupos,1548.6,5.25,48819.0,11.1,0,0.68
2006,Uzbekistan,UZB,1,grupos,1415.1,38.24,2619.0,13.7,0,0.66
2010,Portugal,POR,6,campeao,1794.9,10.77,42745.0,16.1,0,0.95
2010,France,FRA,5,vice,1932.9,70.47,48906.0,9.3,0,0.98
2010,England,ENG,4,semifinal,1807.6,59.5,55417.0,10.1,0,0.98
2010,Brazil,BRA,4,semifinal,1804.7,219.19,11892.0,24.8,0,0.99
2010,Argentina,ARG,3,quartas,1886.1,46.03,13729.0,16.9,0,0.96
2010,Switzerland,SUI,3,quartas,1654.5,9.65,113079.0,8.2,0,0.89
2010,Netherlands,NED,3,quartas,1779.0,18.57,74838.0,11.2,0,0.95
2010,Spain,ESP,3,quartas,1843.2,50.93,38267.0,14.0,0,0.96
2010,Japan,JPN,2,oitavas,1672.8,131.75,38039.0,17.0,0,0.88
2010,Uruguay,URU,2,oitavas,1766.7,3.63,26818.0,18.1,0,0.93
2010,Italy,ITA,2,oitavas,1736.5,61.91,41706.0,14.3,0,0.94
2010,Belgium,BEL,2,oitavas,1780.6,12.7,52438.0,8.8,0,0.94
2010,Croatia,CRO,2,oitavas,1757.8,4.14,27960.0,13.2,0,0.92
2010,Australia,AUS,2,oitavas,1604.5,28.51,68817.0,21.8,0,0.82
2010,South Korea,KOR,2,oitavas,1623.3,56.78,37305.0,12.1,0,0.81
2010,Sweden,SWE,2,oitavas,1620.9,10.45,60969.0,3.6,0,0.85
2010,Iran,IRI,1,grupos,1559.6,97.62,5558.0,17.7,0,0.81
2010,Serbia,SRB,1,grupos,1629.7,7.26,14439.0,12.7,0,0.8
2010,Mexico,MEX,1,grupos,1631.6,136.37,14679.0,20.5,0,0.88
2010,Turkey,TUR,1,grupos,1609.3,92.56,12866.0,11.3,0,0.83
2010,United States,USA,1,grupos,1649.7,344.09,82859.0,11.9,0,0.86
2010,Algeria,DZA,1,grupos,1516.9,48.99,5178.0,23.0,0,0.76
2010,Morocco,MAR,1,grupos,1595.0,39.64,4545.0,21.8,0,0.88
2010,Panama,PAN,1,grupos,1445.6,4.63,20142.0,26.3,0,0.67
2010,Ivory Coast,CIV,1,grupos,1559.9,31.1,3080.0,26.8,0,0.78
2010,Nigeria,NGA,1,grupos,1596.2,234.03,2356.0,26.6,0,0.8
2010,South Africa,RSA,1,grupos,1487.0,64.7,7894.0,17.9,1,0.7
2010,Poland,POL,1,grupos,1524.1,40.0,18953.0,8.2,0,0.79
2010,Senegal,SEN,1,grupos,1491.8,19.0,1655.0,28.1,0,0.85
2010,Paraguay,PAR,1,grupos,1553.2,7.07,6656.0,23.1,0,0.75
2010,Ghana,GHA,1,grupos,1519.5,35.44,2582.0,26.1,0,0.78
2010,Cape Verde,CPV,1,grupos,1427.4,0.62,4826.0,23.4,0,0.64
2014,Portugal,POR,6,campeao,1944.2,11.4,44930.0,15.3,0,0.95
2014,Brazil,BRA,5,vice,1856.2,226.79,11866.0,24.4,1,0.99
2014,Spain,ESP,4,semifinal,1838.3,48.68,32740.0,15.7,0,0.96
2014,Uruguay,URU,4,semifinal,1751.5,3.81,23056.0,18.3,0,0.93
2014,United States,USA,3,quartas,1684.1,360.68,85086.0,12.1,0,0.86
2014,England,ENG,3,quartas,1884.8,62.27,53592.0,10.7,0,0.98
2014,Italy,ITA,3,quartas,1722.9,60.17,41510.0,14.2,0,0.94
2014,Czechia,CZE,3,quartas,1601.9,11.97,35903.0,8.6,0,0.78
2014,France,FRA,2,oitavas,1872.0,68.92,56128.0,9.5,0,0.98
2014,Australia,AUS,2,oitavas,1678.1,27.77,78221.0,22.4,0,0.82
2014,Belgium,BEL,2,oitavas,1873.9,12.66,54016.0,10.5,0,0.94
2014,Morocco,MAR,2,oitavas,1763.9,41.28,4711.0,21.3,0,0.88
2014,Algeria,DZA,2,oitavas,1598.3,49.54,5668.0,21.3,0,0.76
2014,Austria,AUT,2,oitavas,1597.2,9.58,65039.0,6.9,0,0.83
2014,Germany,GER,2,oitavas,1826.4,92.67,65789.0,7.7,0,0.97
2014,Sweden,SWE,2,oitavas,1737.7,10.81,65595.0,1.7,0,0.85
2014,Croatia,CRO,1,grupos,1696.0,4.12,24510.0,14.1,0,0.92
2014,Norway,NOR,1,grupos,1615.5,5.65,95171.0,2.9,0,0.83
2014,Japan,JPN,1,grupos,1679.8,131.4,34056.0,15.7,0,0.88
